location,name,humidity,temperature,timestamp,connectivity,fan_timer,fan_timer_duration,mode,eco,status,coolSet,heatSet
West 5th,Lockers,60,67,2024-04-02T08:32:37.053-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
West 5th,Theater,58,68,2024-04-02T08:32:37.053-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
West 5th,Lockers,54,65,2024-04-02T08:03:33.804-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
West 5th,Theater,72,68,2024-04-02T08:03:33.804-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
West 5th,Lockers,54,66,2024-04-02T07:39:25.090-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
West 5th,Theater,67,68,2024-04-02T07:39:25.090-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
West 5th,Lockers,55,67,2024-04-02T07:05:20.739-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
West 5th,Theater,59,67,2024-04-02T07:05:20.739-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
West 5th,Lockers,53,67,2024-04-02T06:32:40.764-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
West 5th,Theater,67,67,2024-04-02T06:32:40.764-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
West 5th,Lockers,53,66,2024-04-02T06:03:37.262-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
West 5th,Theater,50,67,2024-04-02T06:03:37.262-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
West 5th,Lockers,52,65,2024-04-02T05:32:48.944-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
West 5th,Theater,45,68,2024-04-02T05:32:48.944-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
West 5th,Lockers,51,68,2024-04-02T05:03:33.270-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
West 5th,Theater,45,66,2024-04-02T05:03:33.270-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
West 5th,Lockers,53,66,2024-04-02T04:32:38.565-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
West 5th,Theater,47,68,2024-04-02T04:32:38.565-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
West 5th,Lockers,55,66,2024-04-02T04:03:42.133-05:00,ONLINE,OFF,,COOL,OFF,OFF,67,
West 5th,Theater,46,68,2024-04-02T04:03:42.133-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
West 5th,Lockers,58,69,2024-04-02T03:33:13.153-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
West 5th,Theater,46,67,2024-04-02T03:33:13.153-05:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
West 5th,Lockers,62,70,2024-04-02T03:03:57.642-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
West 5th,Theater,52,69,2024-04-02T03:03:57.642-05:00,ONLINE,OFF,,COOL,OFF,COOLING,68,
West 5th,Lockers,61,69,2024-04-02T02:32:37.728-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
West 5th,Theater,49,70,2024-04-02T02:32:37.728-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
West 5th,Lockers,62,69,2024-04-02T02:03:21.704-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
West 5th,Theater,50,70,2024-04-02T02:03:21.704-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
West 5th,Lockers,63,69,2024-04-02T01:33:20.092-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
West 5th,Theater,55,70,2024-04-02T01:33:20.092-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
West 5th,Lockers,65,69,2024-04-02T01:04:03.612-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
West 5th,Theater,50,71,2024-04-02T01:04:03.612-05:00,ONLINE,OFF,,COOL,OFF,COOLING,70,
West 5th,Lockers,65,69,2024-04-02T00:32:31.949-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
West 5th,Theater,52,69,2024-04-02T00:32:31.949-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
West 5th,Lockers,66,69,2024-04-02T00:03:19.632-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
West 5th,Theater,50,70,2024-04-02T00:03:19.632-05:00,ONLINE,OFF,,COOL,OFF,OFF,70,
