location,name,humidity,temperature,timestamp,connectivity,fan_timer,fan_timer_duration,mode,eco,status,coolSet,heatSet
West 5th,Lockers,50,69,2024-02-14T16:25:33.638-06:00,ONLINE,OFF,,COOL,OFF,OFF,70,
East Austin,CB Lobby,47,70,2024-02-14T16:25:33.640-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,45,71,2024-02-14T16:25:33.640-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Theater,54,67,2024-02-14T16:25:33.640-06:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,Bathrooms,49,70,2024-02-14T16:25:33.640-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,49,69,2024-02-14T16:25:33.640-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
East Austin,AKT Factory,54,68,2024-02-14T16:25:33.640-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
West 5th,Lockers,51,68,2024-02-14T16:48:17.705-06:00,ONLINE,OFF,,COOL,OFF,OFF,70,
East Austin,CB Lobby,47,70,2024-02-14T16:48:17.706-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,45,71,2024-02-14T16:48:17.706-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Theater,52,67,2024-02-14T16:48:17.707-06:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,Bathrooms,49,70,2024-02-14T16:48:17.707-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,57,69,2024-02-14T16:48:17.707-06:00,ONLINE,OFF,,COOL,OFF,COOLING,68,
East Austin,AKT Factory,56,68,2024-02-14T16:48:17.707-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
West 5th,Lockers,52,68,2024-02-14T17:10:08.564-06:00,ONLINE,OFF,,COOL,OFF,OFF,70,
East Austin,CB Lobby,47,70,2024-02-14T17:10:08.565-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,45,71,2024-02-14T17:10:08.565-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Theater,52,66,2024-02-14T17:10:08.565-06:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,Bathrooms,49,70,2024-02-14T17:10:08.565-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,66,69,2024-02-14T17:10:08.565-06:00,ONLINE,OFF,,COOL,OFF,COOLING,68,
East Austin,AKT Factory,56,67,2024-02-14T17:10:08.565-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
West 5th,Lockers,52,68,2024-02-14T17:17:43.541-06:00,ONLINE,OFF,,COOL,OFF,OFF,70,
East Austin,CB Lobby,47,70,2024-02-14T17:17:43.542-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,45,71,2024-02-14T17:17:43.543-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Theater,52,66,2024-02-14T17:17:43.543-06:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,Bathrooms,49,71,2024-02-14T17:17:43.543-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,66,69,2024-02-14T17:17:43.543-06:00,ONLINE,OFF,,COOL,OFF,COOLING,68,
East Austin,AKT Factory,55,68,2024-02-14T17:17:43.543-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
West 5th,Lockers,53,68,2024-02-14T17:18:45.457-06:00,ONLINE,OFF,,COOL,OFF,OFF,70,
East Austin,CB Lobby,47,71,2024-02-14T17:18:45.458-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,45,71,2024-02-14T17:18:45.458-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Theater,52,66,2024-02-14T17:18:45.458-06:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,Bathrooms,49,71,2024-02-14T17:18:45.458-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,64,69,2024-02-14T17:18:45.458-06:00,ONLINE,OFF,,COOL,OFF,COOLING,68,
East Austin,AKT Factory,55,68,2024-02-14T17:18:45.458-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
West 5th,Lockers,58,69,2024-02-14T17:32:36.277-06:00,ONLINE,OFF,,COOL,OFF,OFF,70,
East Austin,CB Lobby,47,71,2024-02-14T17:32:36.279-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,45,71,2024-02-14T17:32:36.279-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Theater,61,67,2024-02-14T17:32:36.279-06:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,Bathrooms,49,71,2024-02-14T17:32:36.279-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,59,68,2024-02-14T17:32:36.279-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
East Austin,AKT Factory,55,69,2024-02-14T17:32:36.279-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
West 5th,Lockers,55,69,2024-02-14T17:47:47.257-06:00,ONLINE,OFF,,COOL,OFF,OFF,70,
East Austin,CB Lobby,47,72,2024-02-14T17:47:47.259-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,47,71,2024-02-14T17:47:47.259-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Theater,63,67,2024-02-14T17:47:47.259-06:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,Bathrooms,49,70,2024-02-14T17:47:47.259-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,54,68,2024-02-14T17:47:47.259-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
East Austin,AKT Factory,57,68,2024-02-14T17:47:47.259-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
West 5th,Lockers,55,68,2024-02-14T18:11:30.958-06:00,ONLINE,OFF,,COOL,OFF,OFF,70,
East Austin,CB Lobby,49,71,2024-02-14T18:11:30.959-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,47,71,2024-02-14T18:11:30.960-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Theater,58,67,2024-02-14T18:11:30.960-06:00,ONLINE,OFF,,COOL,OFF,OFF,67,
East Austin,Bathrooms,50,70,2024-02-14T18:11:30.960-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,61,68,2024-02-14T18:11:30.960-06:00,ONLINE,OFF,,COOL,OFF,COOLING,68,
East Austin,AKT Factory,59,66,2024-02-14T18:11:30.960-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
West 5th,Lockers,54,68,2024-02-14T18:27:34.657-06:00,ONLINE,OFF,,COOL,OFF,OFF,70,
East Austin,CB Lobby,49,71,2024-02-14T18:27:34.659-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,AKT Lobby,47,71,2024-02-14T18:27:34.659-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
East Austin,CB Theater,59,67,2024-02-14T18:27:34.659-06:00,ONLINE,OFF,,COOL,OFF,COOLING,67,
East Austin,Bathrooms,50,71,2024-02-14T18:27:34.659-06:00,ONLINE,OFF,,COOL,OFF,OFF,74,
West 5th,Theater,62,68,2024-02-14T18:27:34.659-06:00,ONLINE,OFF,,COOL,OFF,COOLING,68,
East Austin,AKT Factory,55,68,2024-02-14T18:27:34.659-06:00,ONLINE,OFF,,COOL,OFF,OFF,68,
